date;amount;cumulative
2019-04-09;-14000,0;-14000,0
2019-04-10;0,0;-14000,0
2019-04-11;0,0;-14000,0
2019-04-12;0,0;-14000,0
2019-04-13;0,0;-14000,0
2019-04-14;0,0;-14000,0
2019-04-15;0,0;-14000,0
2019-04-16;0,0;-14000,0
2019-04-17;0,0;-14000,0
2019-04-18;0,0;-14000,0
2019-04-19;0,0;-14000,0
2019-04-20;0,0;-14000,0
2019-04-21;0,0;-14000,0
2019-04-22;0,0;-14000,0
2019-04-23;-2000,0;-16000,0
2019-04-24;0,0;-16000,0
2019-04-25;-4000,0;-20000,0
2019-04-26;0,0;-20000,0
2019-04-27;0,0;-20000,0
2019-04-28;0,0;-20000,0
2019-04-29;0,0;-20000,0
2019-04-30;0,0;-20000,0
2019-05-01;0,0;-20000,0
2019-05-02;-8000,0;-28000,0
2019-05-03;0,0;-28000,0
2019-05-04;0,0;-28000,0
2019-05-05;0,0;-28000,0
2019-05-06;0,0;-28000,0
2019-05-07;0,0;-28000,0
2019-05-08;0,0;-28000,0
2019-05-09;0,0;-28000,0
2019-05-10;0,0;-28000,0
2019-05-11;0,0;-28000,0
2019-05-12;587,08;-27412,92
2019-05-13;0,0;-27412,92
2019-05-14;0,0;-27412,92
2019-05-15;0,0;-27412,92
2019-05-16;0,0;-27412,92
2019-05-17;-2000,0;-29412,92
2019-05-18;0,0;-29412,92
2019-05-19;0,0;-29412,92
2019-05-20;-2000,0;-31412,92
2019-05-21;0,0;-31412,92
2019-05-22;0,0;-31412,92
2019-05-23;0,0;-31412,92
2019-05-24;0,0;-31412,92
2019-05-25;164,87;-31248,05
2019-05-26;208,38;-31039,67
2019-05-27;0,0;-31039,67
2019-05-28;0,0;-31039,67
2019-05-29;0,0;-31039,67
2019-05-30;0,0;-31039,67
2019-05-31;0,0;-31039,67
2019-06-01;0,0;-31039,67
2019-06-02;0,0;-31039,67
2019-06-03;213,88;-30825,789999999997
2019-06-04;0,0;-30825,789999999997
2019-06-05;0,0;-30825,789999999997
